0 Lejia 300 3,2 1 123 2 100 3 15 4 39 5 8 6 4 7 19 8 7 9 9 10 7 11 56 12 11 13 9 14 98 e
1 Jabon 989 0,8 0 2 110 3 20 4 45 5 31 6 10 7 21 8 9 9 2 10 45 11 20 12 8 13 80 14 18 e
2 Detergente 211 4,0 0 1 3 20 4 80 5 5 6 3 7 56 8 1 9 32 10 22 11 68 12 2 13 41 14 110 e
3 Cloro 23 4,9 0 1 2 4 50 5 6 6 8 7 98 8 2 9 12 10 2 11 39 12 4 13 40 14 10 e
4 Lavaplatos 150 6,0 0 1 2 3 6 6 7 8 8 2 9 9 10 16 11 30 12 3 13 2 14 5 e
5 Papel_higienico 220 1,2 0 1 2 3 6 11 7 11 8 23 9 10 10 90 11 5 12 1 13 80 14 31 e
6 Desorodorante 26 4,8 0 1 2 3 4 5 7 15 8 56 9 101 10 21 11 19 12 99 13 56 14 7 e
7 Desinfectante 7 11,64 0 1 2 3 4 5 6 8 7 9 9 10 13 11 45 12 5 13 5 14 60 e
8 Crema_dental 200 15,26 0 1 2 3 4 5 6 7 9 12 10 130 11 10 12 90 13 20 14 4 16 2 e
9 Compotas 113 4,5 0 1 2 3 4 5 6 7 8 10 23 11 10 12 3 13 6 14 20 e
10 Champu 394 6,7 0 1 2 3 4 5 6 7 8 9 11 7 12 130 13 56 14 19 e
11 Cera_suelo 11 12,03 0 1 2 3 4 5 6 7 8 9 10 12 10 13 8 14 67 e
12 Maquina_Afeitar 46 8,92 0 1 2 3 4 5 6 7 8 9 10 11 13 98 14 10 e
13 Toallas 41 12,95 0 1 2 3 4 5 6 7 8 9 10 11 12 14 30 15 1 16 2 e
14 Suavizante 40 6,54 0 1 2 3 4 5 6 7 8 9 10 11 12 13 e
15 Camara 20 1299,99 16 81 17 11 e
16 Carrete 140 12,9915 17 22 e
17 Camara_desechable 180 9,99 e
